[INFO ] 2024-10-22 11:21:06,373 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -908837878 is finished
[INFO ] 2024-10-22 11:21:06,375 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1283319655
[INFO ] 2024-10-22 11:21:06,381 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1283319655 is finished
[INFO ] 2024-10-22 11:21:06,385 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1132421592
[INFO ] 2024-10-22 11:21:06,387 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1132421592 is finished
[INFO ] 2024-10-22 11:21:11,828 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -195545926
[INFO ] 2024-10-22 11:21:11,831 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -195545926 is finished
[INFO ] 2024-10-22 11:21:11,834 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1685388939
[INFO ] 2024-10-22 11:21:11,836 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1685388939 is finished
[INFO ] 2024-10-22 11:21:11,839 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1448039514
[INFO ] 2024-10-22 11:21:11,847 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1448039514 is finished
[INFO ] 2024-10-22 11:21:11,850 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1917781223
[INFO ] 2024-10-22 11:21:11,853 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1917781223 is finished
[INFO ] 2024-10-22 11:22:01,853 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -195545926
[INFO ] 2024-10-22 11:22:01,856 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -195545926 is finished
[INFO ] 2024-10-22 11:22:01,858 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1685388939
[INFO ] 2024-10-22 11:22:01,860 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1685388939 is finished
[INFO ] 2024-10-22 11:22:01,862 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1448039514
[INFO ] 2024-10-22 11:22:01,867 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1448039514 is finished
[INFO ] 2024-10-22 11:22:01,868 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1917781223
[INFO ] 2024-10-22 11:22:01,870 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1917781223 is finished
[INFO ] 2024-10-22 11:22:10,038 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 252157692
[INFO ] 2024-10-22 11:22:10,041 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 252157692 is finished
[INFO ] 2024-10-22 11:22:10,043 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -15351540
[INFO ] 2024-10-22 11:22:10,044 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -15351540 is finished
[INFO ] 2024-10-22 11:22:10,045 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -115568613
[INFO ] 2024-10-22 11:22:10,055 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -115568613 is finished
[INFO ] 2024-10-22 11:22:10,058 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -673016742
[INFO ] 2024-10-22 11:22:10,059 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -673016742 is finished
[INFO ] 2024-10-22 11:22:14,524 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 699861310
[INFO ] 2024-10-22 11:22:14,527 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 699861310 is finished
[INFO ] 2024-10-22 11:22:14,530 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1716092019
[INFO ] 2024-10-22 11:22:14,532 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1716092019 is finished
[INFO ] 2024-10-22 11:22:14,536 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1679176740
[INFO ] 2024-10-22 11:22:14,542 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1679176740 is finished
[INFO ] 2024-10-22 11:22:14,544 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 571747739
[INFO ] 2024-10-22 11:22:14,546 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 571747739 is finished
[INFO ] 2024-10-22 11:22:18,406 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1147564928
[INFO ] 2024-10-22 11:22:18,410 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1147564928 is finished
[INFO ] 2024-10-22 11:22:18,412 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 878134798
[INFO ] 2024-10-22 11:22:18,413 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 878134798 is finished
[INFO ] 2024-10-22 11:22:18,416 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1052182429
[INFO ] 2024-10-22 11:22:18,425 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1052182429 is finished
[INFO ] 2024-10-22 11:22:18,427 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1816512220
[INFO ] 2024-10-22 11:22:18,429 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1816512220 is finished
[INFO ] 2024-10-22 11:22:26,977 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1887857364
[INFO ] 2024-10-22 11:22:26,980 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1887857364 is finished
[INFO ] 2024-10-22 11:22:26,981 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 2116549924
[INFO ] 2024-10-22 11:22:26,983 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 2116549924 is finished
[INFO ] 2024-10-22 11:22:26,984 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 1012542003
[INFO ] 2024-10-22 11:22:26,991 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 1012542003 is finished
[INFO ] 2024-10-22 11:22:26,994 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -863440270
[INFO ] 2024-10-22 11:22:26,995 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -863440270 is finished
[INFO ] 2024-10-22 11:22:31,073 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -1440153746
[INFO ] 2024-10-22 11:22:31,076 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -1440153746 is finished
[INFO ] 2024-10-22 11:22:31,079 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query 415809445
[INFO ] 2024-10-22 11:22:31,081 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query 415809445 is finished
[INFO ] 2024-10-22 11:22:31,083 [repositories/forgont_endpoint | c.o.g.s.h.GraphDBQueryResultHandler] POST query -551066124
[INFO ] 2024-10-22 11:22:31,090 [repositories/forgont_endpoint | c.o.g.s.TupleQueryResultView] Request for query -551066124 is finished
